eng_name,zh_name,ori_price,recycle_price
soap,肥皂,15.340909090909092,93.87407407407414
pot,锅,206.9884615384615,102.3
rope,绳索,153.7846153846154,335.72388059701495
fridge,冰箱,1042.159574468085,751.8148148148148
knob,把手,40.466233766233785,216.4
potion,药水,42.152941176470584,79.33793103448276
bike,自行车,587.0640000000001,43.199999999999996
rum,朗姆酒,116.51555555555555,116.51555555555555
toner,调色剂,45.879999999999995,346.16078431372546
diary,日记,49.26304347826087,22.549999999999997
adhesive,粘合剂,52.46575342465756,16.525
ratchet,棘轮,219.58870967741933,239.72295081967204
radio,收音机,475.74375000000003,25.766666666666666
stain,染色剂,43.63999999999999,13.6
beer,啤酒,126.24583333333332,151.012
sugar,糖,39.59148936170214,1395.0
router,路由器,520.6400000000001,383.2565217391304
tonic,滋补品,736.7344262295082,337.38813559322034
jeans,牛仔裤,269.0,249.0
capacitor,电容器,82.28,398.68593750000014
gauge,仪表,208.69268292682926,23.1
fusion,融合器,328.3923076923077,175.87941176470565
pad,垫子,416.4114285714286,778.3924528301883
iron,熨斗,218.75789473684208,244.9195121951219
sketchbook,素描本,21.781818181818178,24.241538461538454
screwdriver,螺丝刀,76.21132075471697,106.29999999999998
balm,香膏,56.92727272727272,57.09000000000001
case,箱子,176.65357142857144,569.0
microwave,微波炉,1055.9440000000002,1483.0
sheet,床单,72.35373134328357,578.8333333333334
whiskey,威士忌,397.23333333333335,397.9800000000001
polisher,抛光机,276.9160714285714,262.09833333333336
lens,镜片,1353.6780219780223,1213.8450549450552
inkpad,墨板,1814.0249999999999,751.3375000000001
fitting,配件,54.63898305084748,279.5222222222222
strut,支杆,24.4,407.9241935483873
teacup,茶杯,329.9807692307692,219.29999999999998
thimble,顶针,30.133333333333333,322.3030769230771
pattern,图案,60.329268292682926,41.9375
tequila,龙舌兰酒,146.92857142857142,138.23529411764707
detector,探测器,396.00428571428574,369.05921052631584
wrench,扳手,125.18275862068961,143.55084745762701
cream,奶油,39.09107142857145,699.0
wallet,钱包,189.3458333333333,210.656862745098
notebook,笔记本,3344.251612903226,132.33333333333334
wine,葡萄酒,180.6934426229508,176.3223880597015
sprinkler,洒水器,74.56666666666666,80.15
